quiz_id,user,q_idx,choice_idx,correct,timestamp
QZ-20251130-112144-2d599c,Kevin,0,1,0,2025-11-30T11:29:17
QZ-20251130-112144-2d599c,Kevin,1,2,1,2025-11-30T11:29:30
QZ-20251130-112144-2d599c,Kevin,2,1,1,2025-11-30T11:29:41
QZ-20251130-112144-2d599c,Kevin,3,1,1,2025-11-30T11:29:44
QZ-20251130-112144-2d599c,Kevin,4,0,1,2025-11-30T11:29:48
QZ-20251130-112144-2d599c,E01,0,1,0,2025-11-30T11:32:46
QZ-20251130-112144-2d599c,E01,1,2,1,2025-11-30T11:32:54
QZ-20251130-112144-2d599c,E01,2,1,1,2025-11-30T11:32:58
QZ-20251130-112144-2d599c,E01,3,1,1,2025-11-30T11:33:05
QZ-20251130-112144-2d599c,E01,4,0,1,2025-11-30T11:33:08
